ID;NOME ORG;Latitude;Longitude
124;02.640.286/0001-03 | ASETESP ASSOCIAÇÃO DOS SEM TETO DO ESTADO DE SÃO PAULO;-23,6743043;-46,6532507
125;02.649.133/0001-19 | ASSOCIAÇÃO BENEFICENTE VILA MALUF;-23,5052664;-46,3739696
126;02.651.129/0001-95 | ASSOCIAÇÃO VIDA E ESPERANÇA;-23,4539644;-46,7159185
127;02.669.498/0001-05 | ASSOCIAÇÃO COMUNITARIA E BENEFICENTE DO JARDIM SANTA ADÉLIA;-23,5442981;-46,5289823
128;02.708.563/0001-64 | INSTITUTO EDUCACIONAL E CULTURAL SINGULARE;-23,4688348;-46,6635141
129;02.711.522/0001-27 | GRUPO ASSISTENCIAL CASCATA  DE LUZ;-23,5215858;-46,5456121
130;02.721.994/0001-60 | ASSOCIAÇÃO ROSA DE SARON CRISTO É A SOLUÇÃO;-23,5130864;-46,4034331
131;02.722.761/0001-82 | CENTRO OSCAR ROMERO DE DEFESA DOS DIREITOS HUMANOS ? COR;-23,6382424;-46,6133251
132;02.723.034/0001-30 | ASSOCIACAO HUMANISTA DA CHACARA TRES MENINAS E ADJACENCIAS;-23,5106356;-46,4235189
133;02.782.756/0001-65 | ASSOCIAÇÃO DE AMIGOS DE BAIRRO ESTADO DO AMAZONAS INHUMAS;-23,5898671;-46,5059041
134;02.783.070/0001-99 | ASSOCIAÇÃO MULHERES DE LUTA PRA VALER;-23,5096019;-46,4041823
135;02.788.409/0001-40 | ASSOCIAÇÃO BENEFICENTE MARQUES;-23,4968326;-46,4095952
136;02.829.092/0001-42 | ASSOCIAÇÃO DE MESTRES SALAS, PORTA BANDEIRAS E ESTANDARTES DO ESTADO DE SÃO PAULO;-23,5561155;-46,523511
137;02.888.458/0001-54 | GRUPO DE MULHERES SOLIDÁRIAS OSANILIN;-23,4895608;-46,3869305
138;02.889.233/0001-12 | ASSOCIAÇÃO BENEFICIENTE DAS MULHERES VOLUNTARIOSAS DE SÃO PAULO;-23,5012386;-46,3704684
139;02.889.233/0002-01 | CEI ABELHA BELINHA;-23,4994007;-46,3926093
140;02.893.976/0001-66 | G.R.C.S.E.S. MORRO DA CASA VERDE;-23,4925555;-46,6575046
141;02.915.430/0001-69 | ASSOCIAÇÃO UNIDOS DOS MORADORES DO JD FANGANIELLO;-23,5452063;-46,3966795
142;02.928.443/0001-72 | CENTRO DE INTEGRAÇÃO ASSISTENCIAL E PROFISSIONAL SÃO PATRÍCIO - CIAP SÃO PATRÍCIO;-23,6074157;-46,5053387
143;02.936.952/0001-47 | INSTITUTO SÃO PAULO DE AÇÃO VOLUNTARIA - BLOCO DE RUA AÇÃO VOLUNTARIA;-23,5500593;-46,5230314
144;02.947.740/0001-65 | ASSOCIAÇÃO RAIOS DE LUZ;-23,5224519;-46,3957135
145;02.954.996/0001-08 | INSTITUTO DE EDUCAÇÃO E CULTURA ALUTHA;-23,6016861;-46,4997464
146;02.968.494/0001-28 | UNIAO DOS MORADORES DO JARDIM SAO CARLOS;-23,5569295;-46,4126494
